stationID,stationName,lat,lon,count
392,Jay St & Tech Pl,40.695065,-73.987167,1139
393,E 5 St & Avenue C,40.722992,-73.979955,1135
394,E 9 St & Avenue C,40.725213,-73.977688,1121
395,Bond St & Schermerhorn St,40.68807,-73.984106,1114
396,Lefferts Pl & Franklin Ave,40.680342,-73.955769,1110
397,Fulton St & Clermont Ave,40.684157,-73.969223,1108
398,Atlantic Ave & Furman St,40.691652,-73.999979,1106
399,Lafayette Ave & St James Pl,40.688515,-73.964763,1106
400,Pitt St & Stanton St,40.719261,-73.98178,1102
401,Allen St & Rivington St,40.720196,-73.989978,1100
402,Broadway & E 22 St,40.740343,-73.989551,1091
403,E 2 St & 2 Ave,40.725029,-73.990697,1090
404,9 Ave & W 14 St,40.740583,-74.005509,1090
405,Washington St & Gansevoort St,40.739323,-74.008119,1089
406,Hicks St & Montague St,40.695128,-73.995951,1080
407,Henry St & Poplar St,40.700469,-73.991454,1072
408,Market St & Cherry St,40.710762,-73.994004,1072
409,DeKalb Ave & Skillman St,40.690649,-73.956431,1067
410,Suffolk St & Stanton St,40.720664,-73.98518,1065
411,E 6 St & Avenue D,40.722281,-73.976687,1060
412,Forsyth St & Canal St,40.715815,-73.994224,1060
414,Pearl St & Anchorage Pl,40.702819,-73.987658,1058
415,Pearl St & Hanover Square,40.704718,-74.00926,1057
416,Cumberland St & Lafayette Ave,40.687534,-73.972652,1041
417,Barclay St & Church St,40.712912,-74.010202,1040
418,Front St & Gold St,40.70224,-73.982578,1038
419,Carlton Ave & Park Ave,40.695807,-73.973556,1036
420,Clermont Ave & Lafayette Ave,40.687645,-73.969689,1036
421,Clermont Ave & Park Ave,40.695734,-73.971297,1030
422,W 59 St & 10 Ave,40.770513,-73.988038,1015
423,W 54 St & 9 Ave,40.765849,-73.986905,1013
426,West St & Chambers St,40.717548,-74.013221,1005
427,Bus Slip & State St,40.701907,-74.013942,1005
428,E 3 St & 1 Ave,40.724677,-73.987834,994
430,York St & Jay St,40.701485,-73.986569,988
